행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
서원구,202390,100697,101693,197958,98447,99511,4432,2250,2182,86186,84613,56,1517,72483,14017,54900,1239,1188,1139,1615
흥덕구,270590,137094,133496,262522,132737,129785,8068,4357,3711,113965,110912,67,2986,91126,17732,69353,1052,2065,924,4345
청원구,197559,101403,96156,191853,98139,93714,5706,3264,2442,82572,80691,74,1807,68648,14653,50395,1364,1182,1054,2110
보은군,31543,15914,15629,30834,15556,15278,709,358,351,14464,14306,22,136,15702,11823,2998,305,292,284,539
옥천군,48868,24573,24295,47919,24038,23881,949,535,414,20937,20721,27,189,21677,14046,5560,536,1112,423,755
영동군,47016,23615,23401,45958,22997,22961,1058,618,440,21303,20984,75,244,21218,15255,4024,926,678,335,719
진천군,89514,48190,41324,80633,42211,38422,8881,5979,2902,37427,34771,79,2577,38332,11022,22036,1652,3182,440,1420
괴산군,38093,19815,18278,36724,18973,17751,1369,842,527,18470,18209,38,223,17021,14354,1547,304,499,317,790
음성군,103725,57583,46142,90300,47974,42326,13425,9609,3816,43664,40342,154,3168,42939,16216,22841,1095,2244,543,2587
단양군,27640,13966,13674,27370,13873,13497,270,93,177,12845,12785,16,44,13898,9450,2779,1028,313,328,381
증평군,37183,19143,18040,35986,18527,17459,1197,616,581,16090,15714,19,357,15303,4079,10244,456,257,267,341
충청남도,2176636,1117575,1059061,2077470,1058869,1018601,99166,58706,40460,922067,892222,1216,28629,865008,307155,481332,23565,41652,11304,35734
읍부,505174,260198,244976,485455,248489,236966,19719,11709,8010,213081,207389,260,5432,211072,66850,118264,9135,13273,3550,7437
면부,654427,343650,310777,607393,312578,294815,47034,31072,15962,286331,274141,668,11522,289018,193690,78718,4764,8647,3199,11278
동부,1017035,513727,503308,984622,497802,486820,32413,15925,16488,422655,410692,288,11675,364918,46615,284350,9666,19732,4555,17019
천안시,682199,348584,333615,653579,332294,321285,28620,16290,12330,284818,275707,274,8837,244364,33828,188202,6225,13332,2777,15031
동남구,273764,138907,134857,261189,131692,129497,12575,7215,5360,115604,111538,141,3925,99254,19796,67597,3977,6431,1453,3287
서북구,408435,209677,198758,392390,200602,191788,16045,9075,6970,169214,164169,133,4912,145110,14032,120605,2248,6901,1324,11744
공주시,108333,53933,54400,105547,52553,52994,2786,1380,1406,46981,46165,94,722,45266,23748,18072,1335,1362,749,1496
보령시,99088,51355,47733,95137,48418,46719,3951,2937,1014,43181,42417,53,711,44089,22542,18034,1615,1043,855,1345
아산시,340518,178858,161660,312832,162084,150748,27686,16774,10912,136783,128012,182,8589,126319,24934,93267,1980,5079,1059,4513
서산시,176379,92061,84318,170202,88638,81564,6177,3423,2754,74847,72765,65,2017,73069,23270,42092,2097,4779,831,1881
논산시,119707,59849,59858,114077,57000,57077,5630,2849,2781,51800,50139,90,1571,48936,27923,17761,1234,1288,730,1754
계룡시,40854,20370,20484,40557,20234,20323,297,136,161,15207,15137,8,62,17152,1444,14868,372,421,47,324
당진시,168955,90641,78314,160772,85360,75412,8183,5281,2902,71690,69099,87,2504,64504,22973,34313,2324,4098,796,2315
금산군,53758,26834,26924,50782,25396,25386,2976,1438,1538,24102,23257,121,724,23266,16124,5020,609,1117,396,1088
부여군,64207,31844,32363,62580,31037,31543,1627,807,820,28671,28332,42,297,29661,22345,4978,935,897,506,797
서천군,51039,25533,25506,49240,24238,25002,1799,1295,504,23143,22790,32,321,25647,18421,4480,1245,1057,444,717
청양군,30103,15202,14901,29229,14798,14431,874,404,470,13745,13532,21,192,14062,11426,1675,295,491,175,495
